indice_insertion;indice_effort
26.95;55.977
27.464;1.98
11.984;0.964
13.366;12.438
10.628;7.652
33.285;38.156
26.721;12.962
30.316;11.283
21.315;3.278
30.054;10.518
12.227;5.828
15.122;4.985
55.494;16.903
25.06;14.885
34.141;14.062
20.722;11.434
24.499;16.461
31.122;10.406
24.011;19.739
21.895;18.943
19.189;5.979
19.015;5.126
29.012;12.01
26.606;8.752
25.972;7.761
29.628;13.179
24.71;5.056
34.018;14.037
35.429;35.409
32.566;20.887
29.399;36.346
14.433;7.492
36.328;19.047
19.482;13.565
34.199;33.663
31.741;24.726
17.804;7.145
41.368;10.037
18.988;4.824
31.975;15.526
34.975;10.351
27.051;16.904
27.081;9.928
36.298;16.6
23.905;19.542
22.767;8.508
21.799;12.993
25.886;8.4
26.86;4.598
25.546;10.752
26.463;21.622
31.367;5.102
24.833;9.238
17.159;13.851
36.385;28.211
34.006;13.692
24.354;12.545
26.432;12.711
35.146;15.135
30.902;23.603
46.378;16.228
34.931;20.585
39.197;18.014
20.202;15.702
16.061;8.548
41.472;24.022
36.664;11.692
24.865;10.009
6.894;4.727
24.494;9.311
14.05;9.031
24.358;8.863
33.437;17.246
25.526;9.43
18.507;5.692
33.865;10.652
28.466;16.936
26.098;9.622
29.619;14.838
27.364;10.992
16.877;7.238
37.26;9.016
20.521;8.631
19.137;2.348
10.819;4.188
29.619;8.252
21.932;8.072
30.319;10.424
41.944;14.152
42.919;14.511
15.542;8.042
22.364;12.622
25.58;11.992
31.075;6.665
32.125;7.825
13.38;9.963
19.477;15.177
37.28;18.54
27.056;16.497
31.246;13.942
25.162;21.077
26.775;14.014
27.818;17.249
43.173;10.72
46.279;12.797
48.172;10.454
12.541;15.85
19.759;11.364
40.148;23.454
31.996;13.84
17.901;12.901
30.888;18.85
24.754;13.766
16.247;8.845
57.309;14.552
26.975;12.523
25.394;11.471
22.68;13.892
41.898;16.753
33.49;12.219
32.02;19.403
26.468;14.495
55.407;37.8
36.213;21.525
32.532;11.902
19.934;5.009
44.292;14.422
33.762;14.625
24.175;11.678
15.459;5.689
33.897;9.199
27.604;14.851
17.415;7.184
18.818;6.837
39.103;15.693
27.982;9.722
41.873;38.833
16.925;12.077
16.961;6.924
28.88;8.573
29.332;15.1
25.523;14.451
45.126;19.227
36.623;14.082
23.58;11.211
22.346;5.584
27.702;5.155
33.461;17.907
24.265;8.018
31.373;9.046
24.237;17.099
34.561;25.573
23.492;3.677
27.19;10.214
28.209;15.04
34.909;11.228
20.461;9.019
19.885;5.561
23.088;15.972
33.422;13.282
25.056;7.238
52.627;12.989
18.631;5.99
17.272;8.253
26.919;17.704
41.338;14.828
36.719;12.532
22.377;9.196
29.793;8.78
28.117;8.963
31.098;11.105
22.742;19.122
32.003;10.644
17.414;3.975
27.154;8.09
35.145;14.931
27.317;9.6
36.301;20.001
34.578;8.031
24.013;5.932
12.197;7.299
13.518;5.158
15.996;7.052
31.397;15.209
26.955;6.749
33.521;10.18
37.877;22.492
29.834;24.245
46.544;28.963
25.063;24.695
44.551;19.015
23.404;7.969
43.338;44.501
34.643;22.452
31.948;17.674
40.934;14.217
28.651;18.52
31.33;12.655
40.194;32.686
29.383;25.887
24.326;11.057
41.1;26.998
23.572;16.74
20.041;10.714
21.902;10.081
14.003;19.519
32.107;11.507
28.632;32.762
23.982;15.721
30.325;19.131
35.372;24.112
41.138;28.136
20.828;20.815
27.923;14.71
27.261;8.048
27.22;28.061
35.626;24.515
28.813;29.57
37.266;16.039
48.715;10.499
34.27;24.041
28.007;24.157
35.453;31.072
32.771;14.039
20.231;10.798
25.762;7.333
19.336;8.576
30.276;14.823
21.443;16.034
27.773;10.204
28.385;14.726
37.791;16.585
16.274;23.2
13.127;5.844
40.871;13.46
19.256;9.587
27.024;17.647
22.021;5.364
29.113;4.547
22.591;10.122
31.99;7.087
33.012;28.478
15.017;3.206
35.162;13.627
35.161;18.149
35.65;8.43
33.388;14.852
21.704;8.869
28.424;6.633
23.088;11.482
25.578;9.517
29.471;19.17
20.913;9.376
28.187;13.53
34.811;11.525
37.665;28.141
32.833;37.365
22.571;6.003
25.413;12.026
43.648;20.948
15.422;7.142
29.091;29.918
16.03;32.75
