"EPCI_CODE","EPCI","NATURE","REG_CODE","DEPT_CODE"
"200000172","Communauté de communes Faucigny-Glières","Communauté de communes","84","74"
"200000438","Communauté de communes du Pays de Pontchâteau Saint-Gildas-des-Bois","Communauté de communes","52","44"
"200000545","Communauté de communes des Portes de Romilly-sur-Seine","Communauté de communes","44","10"
"200000628","Communauté de communes Rhône Lez Provence","Communauté de communes","93","84"
"200000800","Communauté de communes Coeur de Sologne","Communauté de communes","24","41"
"200000925","Communauté de communes de la Plaine Dijonnaise","Communauté de communes","27","21"
"200000933","Communauté de communes Sauldre et Sologne","Communauté de communes","24","18"
"200004802","Communauté de communes du Pays de Fayence","Communauté de communes","93","83"
"200005932","Communauté de communes des Portes de Sologne","Communauté de communes","24","45"
"200005957","Communauté de communes de la Région de Rambervillers","Communauté de communes","44","88"
"200006682","Communauté d'agglomération Beaune, Côte et Sud - Communauté Beaune-Chagny-Nolay","Communauté d'agglomération","27","21-71"
"200006716","Communauté de communes du Nogentais","Communauté de communes","44","10"
"200006930","Communauté de communes du Haut Allier Margeride","Communauté de communes","76","48"
"200006971","Communauté de communes du Perche","Communauté de communes","24","28"
"200007052","Communauté de communes de la Marche Berrichonne","Communauté de communes","24","36"
"200007177","Communauté de communes Pays de Nérondes","Communauté de communes","24","18"
"200010650","Communauté d'agglomération du Grand Dole","Communauté d'agglomération","27","39"
"200010700","Communauté d'agglomération Caux Seine Agglo","Communauté d'agglomération","28","76"
"200011773","Communauté d'agglomération Annemasse-Les Voirons-Agglomération","Communauté d'agglomération","84","74"
"200011781","Communauté de communes Portes du Berry entre Loire et Val d'Aubois","Communauté de communes","24","18"
"200013050","Communauté de communes Sauer-Pechelbronn","Communauté de communes","44","67"
"200015162","Communauté de communes de l'Oriente","Communauté de communes","94","2B"
"200016905","Communauté de communes du Pays de Lamastre","Communauté de communes","84","07"
"200017341","Communauté de communes Lodévois et Larzac","Communauté de communes","76","34"
"200017846","Communauté d'agglomération Étampois Sud Essonne","Communauté d'agglomération","11","91"
"200018083","Communauté de communes de Desvres-Samer","Communauté de communes","32","62"
"200018166","Communauté de communes Le Grésivaudan","Communauté de communes","84","38"
"200018406","Communauté de communes du Romorantinais et du Monestois","Communauté de communes","24","41"
"200018521","Communauté de communes du Val de Bouzanne","Communauté de communes","24","36"
"200018653","Communauté d'agglomération Cap Excellence","Communauté d'agglomération","01","971"
"200022986","Communauté de communes du Grand Pic Saint-Loup","Communauté de communes","76","34"
"200023075","Communauté de communes du Pays de Maîche","Communauté de communes","27","25"
"200023125","Communauté de communes Les Portes Briardes entre Villes et Forêts","Communauté de communes","11","77"
"200023240","Communauté de communes Pays de Nemours","Communauté de communes","11","77"
"200023299","Communauté de communes Coeur de Tarentaise","Communauté de communes","84","73"
"200023307","Communauté d'agglomération du Grand Villeneuvois","Communauté d'agglomération","75","47"
"200023372","Communauté de communes de la Vallée de Chamonix-Mont-Blanc","Communauté de communes","84","74"
"200023414","Métropole Rouen Normandie","Métropole","28","76"
"200023620","Communauté de communes de la Gascogne Toulousaine","Communauté de communes","76","32"
"200023737","Communauté d'agglomération du Grand Cahors","Communauté d'agglomération","76","46"
"200023778","Communauté d'agglomération du Pays de Saint-Gilles-Croix-de-Vie","Communauté d'agglomération","52","85"
"200023794","Communauté de communes de Blaye","Communauté de communes","75","33"
"200023919","Communauté de communes Gâtinais Val de Loing","Communauté de communes","11","77"
"200026573","Communauté de communes Haut-Jura Saint-Claude","Communauté de communes","27","39"
"200027027","Communauté de communes Arc Sud Bretagne","Communauté de communes","53","56"
"200027076","Communauté de communes Arnon Boischaut Cher","Communauté de communes","24","18"
"200027100","Communauté de communes Méditerranée Porte des Maures","Communauté de communes","93","83"
"200027183","Communauté urbaine Perpignan Méditerranée Métropole","Communauté urbaine","76","66"
"200027217","Communauté de communes Sarlat-Périgord Noir","Communauté de communes","75","24"
"200027308","Communauté de communes d'Auberive Vingeanne et Montsaugeonnais","Communauté de communes","44","52"
"200027548","Communauté de communes des Savanes","Communauté de communes","03","973"
"200029734","Communauté de communes des 4B Sud Charente","Communauté de communes","75","16"
"200029999","Communauté de communes Rives de l'Ain - Pays du Cerdon","Communauté de communes","84","01"
"200030195","Métropole Nice Côte d'Azur","Métropole","93","06"
"200030385","Communauté d'agglomération de Blois «Agglopolys»","Communauté d'agglomération","24","41"
"200030435","Communauté de communes d'Aire-sur-l'Adour","Communauté de communes","75-76","32-40"
"200030526","Communauté de communes du Ried de Marckolsheim","Communauté de communes","44","67-68"
"200030633","Communauté d'agglomération du Caudrésis et du Catésis","Communauté d'agglomération","32","59"
"200030658","Communauté de communes du Trièves","Communauté de communes","84","38"
"200030674","Communauté d'agglomération Val de Garonne Agglomération","Communauté d'agglomération","75","47"
"200032514","Communauté de communes Berry-Loire-Vauvise","Communauté de communes","24","18"
"200033025","Communauté d'agglomération de Bar-le-Duc - Sud Meuse","Communauté d'agglomération","44","55"
"200033090","Communauté de communes Plaines et Monts de France","Communauté de communes","11","77"
"200033116","Communauté de communes Cluses-Arve et Montagnes","Communauté de communes","84","74"
"200033173","Communauté de communes de la Haute Vallée de Chevreuse","Communauté de communes","11","78"
"200033181","Communauté d'agglomération Chartres Métropole","Communauté d'agglomération","24","28"
"200033298","Communauté de communes des Coëvrons","Communauté de communes","52","53"
"200033579","Communauté urbaine d'Arras","Communauté urbaine","32","62"
"200033827","Communauté de communes de Fium'Orbu Castellu","Communauté de communes","94","2B"
"200033868","Communauté de communes des Ballons des Hautes-Vosges","Communauté de communes","44","88"
"200034023","Communauté de communes Tarn-Agout","Communauté de communes","76","31-81"
"200034031","Communauté de communes des Monts d'Alban et du Villefranchois","Communauté de communes","76","81"
"200034049","Communauté de communes Centre Tarn","Communauté de communes","76","81"
"200034056","Communauté de communes du Lautrécois et du Pays d'Agout","Communauté de communes","76","81"
"200034064","Communauté de communes du Cordais et du Causse (4 C)","Communauté de communes","76","81"
"200034098","Communauté de communes des Montagnes du Giffre","Communauté de communes","84","74"
"200034130","Communauté de communes Gally Mauldre","Communauté de communes","11","78"
"200034197","Communauté de communes de Montaigne Montravel et Gurson","Communauté de communes","75","24"
"200034205","Communauté de communes de la Costa Verde","Communauté de communes","94","2B"
"200034270","Communauté de communes du Pays de Barr","Communauté de communes","44","67"
"200034379","Communauté de communes Pays d'Uzès","Communauté de communes","76","30"
"200034411","Communauté de communes du Piémont Cévenol","Communauté de communes","76","30"
